frame_no,timestamp,size_px-mediumseagreen,position_px_x-mediumseagreen,position_px_y-mediumseagreen,rx-mediumseagreen,ry-mediumseagreen,vx-mediumseagreen,vy-mediumseagreen,ax-mediumseagreen,ay-mediumseagreen
6,313.9,8,504,36,,,,,,
7,346.2,8,504,43,,,,,,
8,415.5,8,504,60,,,,,,
9,447.2,8,504,69,,,,,,
10,545.2,8,505,103,,,,,,
11,581.0,8,505,116,,,,,,
12,681.0,8,507,161,,,,,,
13,713.6,8,507,177,,,,,,
14,745.7,8,507,194,,,,,,
15,781.5,8,508,212,,,,,,
16,913.5,8,509,291,,,,,,
17,946.5,8,510,312,,,,,,
18,1013.1,7,511,356,,,,,,
19,1048.8,7,511,380,,,,,,
20,1081.1,8,512,404,,,,,,
21,1113.8,8,512,428,,,,,,
22,1145.8,7,512,453,,,,,,
23,1181.2,7,513,478,,,,,,
24,1217.0,7,514,505,,,,,,
25,1245.2,7,514,531,,,,,,
26,1281.4,8,515,559,,,,,,
27,1313.2,7,515,587,,,,,,
28,1381.1,7,516,644,,,,,,
29,1413.1,8,517,674,,,,,,
30,1512.9,8,518,768,,,,,,
31,1553.0,8,518,800,,,,,,
32,1582.5,8,518,833,,,,,,
33,1713.1,8,519,915,,,,,,
34,1750.9,8,519,894,,,,,,
35,1781.2,8,519,874,,,,,,
36,1813.4,8,519,854,,,,,,
37,1845.4,8,519,835,,,,,,
38,1881.3,8,520,817,,,,,,
39,1913.3,8,520,799,,,,,,
40,2012.9,8,520,751,,,,,,
41,2081.1,7,520,722,,,,,,
42,2145.0,7,520,696,,,,,,
43,2181.2,7,520,684,,,,,,
44,2213.6,7,520,673,,,,,,
45,2281.2,7,520,652,,,,,,
46,2313.3,7,520,643,,,,,,
47,2345.5,7,520,634,,,,,,
48,2546.2,7,519,597,,,,,,
49,2584.3,7,519,593,,,,,,
50,2620.5,7,519,590,,,,,,
51,2681.0,7,518,586,,,,,,
52,2716.7,7,518,585,,,,,,
53,2781.0,7,517,585,,,,,,
54,2816.9,8,517,586,,,,,,
55,2852.9,7,516,588,,,,,,
56,2892.9,7,516,590,,,,,,
57,2915.1,7,516,593,,,,,,
58,2981.0,7,515,601,,,,,,
59,3013.1,7,515,607,,,,,,
60,3081.0,7,514,619,,,,,,
61,3113.1,7,514,626,,,,,,
62,3213.0,7,512,653,,,,,,
63,3281.0,7,512,673,,,,,,
64,3316.9,7,512,685,,,,,,
65,3345.1,7,511,697,,,,,,
66,3412.9,8,510,724,,,,,,
67,3481.0,8,509,754,,,,,,
68,3545.0,8,508,786,,,,,,
69,3581.0,8,508,803,,,,,,
70,3613.2,7,507,821,,,,,,
71,3681.1,7,506,859,,,,,,
72,3713.1,8,505,879,,,,,,
